id,name
SEC-A,Phulera – Jaipur
SEC-B,Jaipur – Dausa
SEC-C,Dausa – Bandikui
SEC-D,Bandikui – Alwar
SEC-E,Alwar – Rewari
SEC-F,Rewari – Gurgaon
